,MMSI,SHIPNAME,VESSEL TYPE,SPEED (KNOTSx10),COURSE,HEADING,TIMESTAMP UTC,LENGTH,Year,ship_Loc,LAT,LON,distance(in km),axial_Loc,instance_id,ud_group
0,210059000,SANTIAGO,Bulk Carrier,127,353,355,2016-11-25 22:49:56,171.67,2016,"(45.79623, -129.762)",45.79623,-129.762,2.37,"(45.8168, -129.754)",AB_20161125224956_20161125225956,Cargo
1,212250000,KYPROS LAND,Bulk Carrier,119,173,172,2016-04-01 18:58:25,224.94,2016,"(45.8537, -129.7794)",45.8537,-129.7794,4.55,"(45.8168, -129.754)",AB_20160401185825_20160401190825,Cargo
2,212250000,KYPROS LAND,Bulk Carrier,117,173,173,2016-04-01 19:06:48,224.94,2016,"(45.82647, -129.7751)",45.82647,-129.7751,1.96,"(45.8168, -129.754)",AB_20160401185825_20160401190825,Cargo
3,212250000,KYPROS LAND,Bulk Carrier,119,173,172,2016-04-01 18:58:25,224.94,2016,"(45.8537, -129.7794)",45.8537,-129.7794,4.55,"(45.8168, -129.754)",AB_20160401190825_20160401191825,Cargo
4,212482000,MACHERAS,Bulk Carrier,79,220,220,2020-09-24 19:41:45,229.0,2020,"(45.8048, -129.695)",45.8048,-129.695,4.78,"(45.8168, -129.754)",AB_20200924194145_20200924195145,Cargo
5,212482000,MACHERAS,Bulk Carrier,81,203,221,2020-09-24 19:44:41,229.0,2020,"(45.79967, -129.7003)",45.79967,-129.7003,4.59,"(45.8168, -129.754)",AB_20200924194145_20200924195145,Cargo
6,212482000,MACHERAS,Bulk Carrier,76,227,222,2020-09-24 19:49:02,229.0,2020,"(45.79276, -129.7079)",45.79276,-129.7079,4.47,"(45.8168, -129.754)",AB_20200924194145_20200924195145,Cargo
7,220518000,TORM EMILIE,Oil Products Tanker,22,41,322,2018-01-20 21:28:28,228.19,2018,"(45.81423, -129.8122)",45.81423,-129.8122,4.53,"(45.8168, -129.754)",AB_20180120212828_20180120213828,Tanker
8,220518000,TORM EMILIE,Oil Products Tanker,18,41,313,2018-01-20 21:34:28,228.19,2018,"(45.81685, -129.8088)",45.81685,-129.8088,4.26,"(45.8168, -129.754)",AB_20180120212828_20180120213828,Tanker
9,212482000,MACHERAS,Bulk Carrier,79,220,220,2020-09-24 19:41:45,229.0,2020,"(45.8048, -129.695)",45.8048,-129.695,4.78,"(45.8168, -129.754)",AB_20180120213828_20180120214828,Cargo
10,212482000,MACHERAS,Bulk Carrier,81,203,221,2020-09-24 19:44:41,229.0,2020,"(45.79967, -129.7003)",45.79967,-129.7003,4.59,"(45.8168, -129.754)",AB_20180120214828_20180120215828,Cargo
11,249666000,CELEBRITY ECLIPSE,Passenger Ship,150,226,230,2019-04-19 04:21:58,317.14,2019,"(45.81411, -129.6939)",45.81411,-129.6939,4.68,"(45.8168, -129.754)",AB_20190419042158_20190419043158,Passenger
12,249666000,CELEBRITY ECLIPSE,Passenger Ship,157,227,230,2019-04-19 04:24:37,317.14,2019,"(45.80651, -129.7057)",45.80651,-129.7057,3.92,"(45.8168, -129.754)",AB_20190419042158_20190419043158,Passenger
13,249666000,CELEBRITY ECLIPSE,Passenger Ship,153,228,230,2019-04-19 04:26:37,317.14,2019,"(45.80065, -129.7147)",45.80065,-129.7147,3.54,"(45.8168, -129.754)",AB_20190419042158_20190419043158,Passenger
14,249666000,CELEBRITY ECLIPSE,Passenger Ship,157,227,230,2019-04-19 04:29:49,317.14,2019,"(45.79137, -129.729)",45.79137,-129.729,3.43,"(45.8168, -129.754)",AB_20190419042158_20190419043158,Passenger
