,MMSI,SHIPNAME,VESSEL TYPE,SPEED (KNOTSx10),COURSE,HEADING,TIMESTAMP UTC,LENGTH,Year,ship_Loc,LAT,LON,distance(in km),central_caldera_Loc,instance_id,ud_group
0,229343000,THEODOR OLDENDORFF,Bulk Carrier,136,76,77,2017-02-05 14:38:01,225.0,2017,"(45.9755, -130.0446)",45.9755,-130.0446,3.59,"(45.9549, -130.0089)",CC_20170205143801_20170205144801,Cargo
1,229760000,GIULIA I,Bulk Carrier,94,175,172,2016-01-14 07:02:29,179.99,2016,"(45.99047, -130.0265)",45.99047,-130.0265,4.18,"(45.9549, -130.0089)",CC_20160114070229_20160114071229,Cargo
2,229760000,GIULIA I,Bulk Carrier,94,175,172,2016-01-14 07:02:29,179.99,2016,"(45.99047, -130.0265)",45.99047,-130.0265,4.18,"(45.9549, -130.0089)",CC_20160114071229_20160114072229,Cargo
3,232010034,MONA MANX,Bulk Carrier,108,256,256,2020-11-09 07:40:00,199.9,2020,"(45.99785, -129.9982)",45.99785,-129.9982,4.85,"(45.9549, -130.0089)",CC_20201109074000_20201109075000,Cargo
4,232010034,MONA MANX,Bulk Carrier,109,256,256,2020-11-09 07:42:42,199.9,2020,"(45.99585, -130.0095)",45.99585,-130.0095,4.55,"(45.9549, -130.0089)",CC_20201109074000_20201109075000,Cargo
5,232010034,MONA MANX,Bulk Carrier,109,256,257,2020-11-09 07:46:02,199.9,2020,"(45.99343, -130.0237)",45.99343,-130.0237,4.43,"(45.9549, -130.0089)",CC_20201109074000_20201109075000,Cargo
6,241124000,DORIC VALOUR,Bulk Carrier,99,236,232,2015-10-29 16:28:17,189.99,2015,"(45.99829, -130.0005)",45.99829,-130.0005,4.87,"(45.9549, -130.0089)",CC_20151029162817_20151029163817,Cargo
7,246767000,MARSGRACHT,General Cargo,115,47,48,2018-02-22 07:09:32,142.1,2018,"(45.9573, -130.0706)",45.9573,-130.0706,4.79,"(45.9549, -130.0089)",CC_20180222070932_20180222071932,Cargo
8,246767000,MARSGRACHT,General Cargo,113,48,45,2018-02-22 07:09:54,142.1,2018,"(45.95832, -130.0688)",45.95832,-130.0688,4.66,"(45.9549, -130.0089)",CC_20180222070932_20180222071932,Cargo
9,246767000,MARSGRACHT,General Cargo,118,49,49,2018-02-22 07:13:08,142.1,2018,"(45.96469, -130.0586)",45.96469,-130.0586,4.0,"(45.9549, -130.0089)",CC_20180222070932_20180222071932,Cargo
